0MIN_area 0MIN_circumference 0MIN_foot 0MIN_head_width 0MIN_length 0MIN_length_area_ratio 0MIN_length_width_ratio 0MIN_max_width 0MIN_max_width_location 0MIN_neck_width 0MIN_width_length_ratio 0MIN_x_m 0MIN_y_m 10_MIN_area 10_MIN_circumference 10_MIN_foot 10_MIN_head_width 10_MIN_length 10_MIN_length_area_ratio 10_MIN_length_width_ratio 10_MIN_max_width 10_MIN_max_width_location 10_MIN_neck_width 10_MIN_width_length_ratio 10_MIN_x_m 10_MIN_y_m 40_MIN_area 40_MIN_circumference 40_MIN_foot 40_MIN_head_width 40_MIN_length 40_MIN_length_area_ratio 40_MIN_length_width_ratio 40_MIN_max_width 40_MIN_max_width_location 40_MIN_neck_width 40_MIN_width_length_ratio 40_MIN_x_m 40_MIN_y_m animal_id group_id nencki_id source0 source10 source40 unique_id
0.7324503181 3.3647509843 1.0093490485 1.1892274238 0.751035353 1.0253737823 0.631532151 1.1892274238 0.3333333333 1.0093490485 1.5834506578 229.5375 773.45625 0.912182088 3.8367376138 1.0335376142 1.1078691896 1.0702112685 1.1732430208 0.9660086935 1.2352531332 0.9230769231 1.1078691896 1.0351873712 227.556122449 802.408163265 1.0450206989 4.3674421906 1.2098641557 1.0807755665 1.2258203176 1.1730105623 1.1342043211 1.0891376749 0.8823529412 0.9717551968 0.8816753573 272.213675214 791.316239316 18 f 302 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-302-f
0.53655 3.2179393924 0.42 0.7138627319 1.0877151173 2.0272390594 1.5237034639 0.7138627319 0.4666666667 0.2886173938 0.6562956794 230.091666667 801.741666667 0.6936236159 3.9737992252 0.7499766553 1.0327546684 1.1822713959 1.7044855001 1.1447746808 1.0327546684 0.2142857143 0.7553677035 0.8735343442 224.087248322 833.32885906 0.3219432358 3.052010703 0.42 0.4191959272 0.9882872634 3.0697562596 2.3575784004 0.42 0.6428571429 0.28 0.4241640489 266.054794521 820 18 f 301 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-301-f
0.4772650164 3.2159604547 0.6162264402 0.6444125331 0.9787881664 2.0508273869 1.5188844352 0.6444125331 0.2142857143 0.3769615365 0.6583779363 253.465346535 102.900990099 0.3954717619 3.6129287108 1.0022474744 0.4257933771 0.9754218462 2.4664765989 2.2908337674 0.8820925872 0.9285714286 0.369438011 0.4365222891 243.456521739 135.945652174 0.3141857568 2.3668441885 0.8418609901 0.5331041174 0.63 2.0051831959 1.1817578957 0.7381469322 0.8888888889 0.5331041174 0.8461970118 286.833333333 129.333333333 18 f 211 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-211-f
0.706092273 4.7999449372 0.5980802622 0.7979124733 1.2627589586 1.7883766851 1.5825782914 0.7979124733 0.3888888889 0.2602464591 0.6318802712 248.664596273 139.552795031 1.0031644603 4.7080268186 1.2470655722 0.977869538 1.207185909 1.2033778675 1.2345060994 1.05 0.6470588235 0.9764294223 0.8100405502 238.679824561 168.50877193 1.05595 5.563852035 1.2619429464 0.98 1.54 1.4584023865 1.5714285714 1.12 0.8636363636 0.98 0.6363636364 283.855319149 161.178723404 18 f 212 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-212-f
0.34888 2.5221714151 0.8544588931 0.6021627687 0.6937082684 1.9883864606 1.1520278311 0.6045990407 0.6666666667 0.6021627687 0.8680345848 260.670886076 785.569620253 0.3345000724 3.028597458 0.9174777308 0.5014498183 0.535136828 1.5998107987 1.067179224 0.7826237921 0.875 0.5014498183 0.9370497265 253.921052632 817.118421053 0.4254977281 3.0114510146 0.9583441852 0.6099930398 0.628888465 1.4780066342 1.0309764603 0.8280649181 0.75 0.6099930398 0.9699542507 298.252631579 807.515789474 18 f 25 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-025-f
0.2246933452 2.338041986 0.3979333085 0.6028575873 0.638132664 2.84001586 1.0585131173 0.6028575873 0.5 0.4607069763 0.9447214056 247.357142857 803.446428571 0.2640749696 2.9634522052 0.6013662943 0.2758958404 0.8393718326 3.1785361328 3.0423504436 0.5099382605 0.8333333333 0.1564811561 0.3286932319 240.2 836.733333333 0.3825837457 2.8364560517 0.7994635061 0.6016508915 0.6594540113 1.7236853856 1.0960741862 0.8029060358 0.875 0.6016508915 0.912347004 289.311111111 826.722222222 18 f 300 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-300-f
0.1770524669 2.0133573669 0.8329879042 0.4850757621 0.2813557512 1.5891094661 0.5800243451 0.6239604446 0.75 0.4850757621 1.7240655647 NaN NaN 0.1035720682 1.0399716366 0.619492102 0.1565247584 0.2562044116 2.4736824913 1.6368299444 0.5238320341 0.6666666667 0.1565247584 0.6109370148 NaN NaN 0.118663704 1.7686340317 0.7443065611 0.266277809 0.21 1.7697071042 0.7886500222 0.4897016879 0.6666666667 0.266277809 1.2679895667 NaN NaN 18 f 213 NaN NaN NaN 00-018-213-f
0.8380980337 5.3980115881 1.2268339237 0.9386641865 1.0821315602 1.2911753955 1.1528420662 0.9386641865 0.4 0.4358052879 0.8674215049 281.314136126 108.712041885 0.4043396534 2.940060482 0.9065989409 0.7 0.6677303436 1.6514094972 0.9539004909 0.8085539274 0.5555555556 0.7 1.0483273775 277.096774194 139.731182796 0.6107621655 4.2170499946 0.8221675621 0.5980802622 1.19 1.948385259 1.9896995023 0.7308214556 0.9411764706 0.4427188724 0.5025884556 321.062015504 129.441860465 18 f 214 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-214-f
0.478788797 3.2277713636 0.9184397143 0.6338769597 0.6494445978 1.356432318 1.0245594005 0.8686771552 0.6666666667 0.6338769597 0.9760293054 258.242990654 805.177570093 0.3322668101 2.6197758545 0.5831889952 0.4897646471 0.647761792 1.9495230112 1.3225981007 0.63 0.8888888889 0.4897646471 0.7560875821 255.405405405 838.675675676 0.2769242387 2.7804231959 0.456206215 0.4051025017 0.9176823526 3.3138390377 2.2653090238 0.4051025017 0.5384615385 0.1979898987 0.4414408761 308.6 834.615384615 18 f 299 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-299-f
1.2244022932 7.0725612501 0.4871832157 0.91 1.7511098232 1.4301752234 1.924296509 1.12 0.72 0.35 0.519670433 291.701388889 155.267361111 1.5742081316 7.1704279669 1.5125181224 1.1339920667 2.0569224245 1.3066394356 1.8138772616 1.1339920667 0.5517241379 1.1339920667 0.5513052185 283.621082621 182.991452991 1.6258336798 6.2415566989 1.2096371808 1.19 1.75 1.0763708624 1.4705882353 1.26 0.72 1.12 0.68 332.01971831 172.352112676 18 f 30 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-030-f
0.1770524669 2.6620671714 0.1834564876 0.4611194547 0.7273927059 4.1083455006 1.5774496143 0.4611194547 0.4 0 0.6339346696 301.28 115.22 0.4587874772 4.2091415999 0.2741974641 1.0662082348 0.9012386412 1.9643924167 0.845274508 1.0662082348 0.2142857143 0.172054915 1.1830476259 297.825242718 138.553398058 0.4334373747 4.0405478324 0.42 0.9207062507 0.84 1.9379962344 0.9123431055 0.9207062507 0.1666666667 0.2834978213 1.0960788698 340.212765957 136.117021277 18 f 215 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-215-f
0.5005665504 2.8758005995 1.100210214 0.5346867338 0.7761548242 1.550552716 1.4516066608 0.9857586893 0.8888888889 0.525154552 0.6888918513 296.71559633 820.495412844 0.4233703721 2.8806526677 0.9297655769 0.4235755692 0.8100333926 1.9132973064 1.9123704281 0.886031727 0.7272727273 0.4235755692 0.5229112442 293.452631579 853.8 0.5856113598 3.5924491031 0.8515867542 0.7993401134 0.8935745447 1.5258832156 1.1178902819 0.7993401134 0.3846153846 0.5643580424 0.8945421713 339.769230769 838.161538462 18 f 298 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-298-f
0.4165 3.4157394251 0.6338769597 0.8429116205 0.7732233195 1.8564785583 0.9173243086 0.8429116205 0.2727272727 0.356931366 1.0901270037 311.474226804 118.896907216 0.3413759956 1.8895533766 0.3948348469 0.7270574339 0.7734925206 2.2658081722 1.0638671507 0.7270574339 0.5 0.5060417228 0.9399669868 302.753623188 146.753623188 0.3184051465 2.8950867004 0.4949747468 0.8658521814 0.56 1.7587655419 0.6467616668 0.8658521814 0.25 0.5096076923 1.5461646096 349.514705882 140.029411765 18 f 216 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-216-f
0.353210153 5.1348735024 0.3749628756 0.4754276377 1.3026830011 3.6881244495 2.7400237129 0.4754276377 0.125 0 0.3649603452 322.289156627 820.542168675 0.7396243625 5.1833580358 0.9391485506 0.6839964892 1.448689062 1.9586821845 2.117977336 0.7059934815 0.6842105263 0.3756118815 0.4721485839 315.5 853.84939759 0.8122247119 5.815951957 0.8034923645 0.8588530541 1.1899687478 1.4650733109 1.3855324169 0.8588530541 0.4285714286 0.5828011301 0.7217442103 360.771428571 840.811428571 18 f 34 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-034-f
0.7297431171 4.9943103504 0.455742951 0.8585997033 1.4547077771 1.9934518642 1.6942793848 0.8585997033 0.5294117647 0.4694706902 0.5902214292 316.19047619 158.25 0.7480659771 6.6434910375 0.6878701609 1.3742925715 1.701821347 2.2749615662 1.2383253626 1.3742925715 0.0952380952 0.1700927254 0.80754221 309.959537572 184.352601156 0.6724271535 5.1336436677 0.6239518985 0.753923073 1.19 1.7697084268 1.5784103745 0.753923073 0.5294117647 0.596185631 0.6335488008 357.616883117 175.928571429 18 f 35 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-035-f
0.4039552939 2.5113721608 0.7046432484 0.6935496044 0.6421912432 1.5897582055 0.9259485394 0.7539454074 0.6666666667 0.6604296743 1.0799736243 331.02173913 122.880434783 0.4514987431 3.228639032 0.7743005861 0.7138627319 0.7706389451 1.7068462692 1.0795337965 0.7138627319 0.5454545455 0.6333635238 0.9263257929 322.432692308 152.759615385 0.3843226781 3.9553124813 0.744969028 0.6894200461 0.63 1.6392475281 0.9138115486 0.6894200461 0.2222222222 0.5417404298 1.0943175335 365.122222222 141.166666667 18 f 217 Forskolin_22_RGB.csv Forskolin_8_RGB.csv Forskolin_10_RGB.csv 00-018-217-f
