0MIN_area 0MIN_circumference 0MIN_foot 0MIN_head_width 0MIN_length 0MIN_length_area_ratio 0MIN_length_width_ratio 0MIN_max_width 0MIN_max_width_location 0MIN_neck_width 0MIN_width_length_ratio 0MIN_x_m 0MIN_y_m 10_MIN_area 10_MIN_circumference 10_MIN_foot 10_MIN_head_width 10_MIN_length 10_MIN_length_area_ratio 10_MIN_length_width_ratio 10_MIN_max_width 10_MIN_max_width_location 10_MIN_neck_width 10_MIN_width_length_ratio 10_MIN_x_m 10_MIN_y_m 40_MIN_area 40_MIN_circumference 40_MIN_foot 40_MIN_head_width 40_MIN_length 40_MIN_length_area_ratio 40_MIN_length_width_ratio 40_MIN_max_width 40_MIN_max_width_location 40_MIN_neck_width 40_MIN_width_length_ratio 40_MIN_x_m 40_MIN_y_m animal_id group_id nencki_id source0 source10 source40 unique_id
0.8515362441 3.9865118794 0.9259931527 0.7879404639 1.3584859468 1.5953354378 1.724097199 0.8742752457 0.8823529412 0.7165826226 0.5800137026 265.031578947 367.547368421 0.9142315632 3.9412058548 0.9702076601 1.017326513 1.1820336146 1.2929258431 1.1619019061 1.1265433858 0.75 0.8888390429 0.8606578531 275.487684729 370.822660099 1.2513782104 5.3842531523 1.5441441896 1.5617077357 1.1560394256 0.9238129736 0.7402405708 1.5839771121 0.7857142857 1.5417685877 1.3509121757 291.111913357 378.025270758 40 d 212 ControlTest_0_RGB.csv ControlTest_16_RGB.csv ControlTest_21_RGB.csv 00-040-212-d
1.3657482759 5.9161598215 0.8909545443 0.7441102069 1.8905378157 1.38425056 2.5406691081 0.9417536833 0.7777777778 0.7441102069 0.3935971028 263.384615385 444.157190635 1.7113981412 6.5345965617 1.0030473086 1.3048489638 1.9821630935 1.1582127185 1.5190747347 1.3048489638 0.5384615385 1.0021593785 0.6582954592 273.037837838 445.181081081 2.0368097029 8.1244572814 1.4404548143 0.8700298962 2.2616172746 1.1103723983 2.599470759 1.3394598843 0.96875 0.8700298962 0.3846936907 287.931415929 458.088495575 40 d 213 ControlTest_0_RGB.csv ControlTest_16_RGB.csv ControlTest_21_RGB.csv 00-040-213-d
0.7808109729 3.9921449633 1.0507604213 0.9368012688 1.0252517671 1.3130601421 1.0944175688 0.9368012688 0.4615384615 0.7437040888 0.9137280217 323.372781065 526.893491124 0.5221455825 2.6849194329 0.5802957763 0.7580944519 0.7335401998 1.404857619 0.9676105635 0.7580944519 0.5 0.6015782584 1.0334736285 332.036363636 526.354545455 0.6960157892 4.4189791974 0.8971080147 0.6929646456 1.1210831981 1.6107151812 1.6178072074 0.7022202512 0.9375 0.4949747468 0.6181206237 344.53164557 542.234177215 40 d 214 ControlTest_0_RGB.csv ControlTest_16_RGB.csv ControlTest_21_RGB.csv 00-040-214-d
0.9449401525 4.9096671587 1.1350104946 0.5949963259 1.7356315 1.8367634134 2.9170457436 0.9420730172 0.9523809524 0.4713695935 0.3428125878 346.844660194 489.490291262 1.1020934934 4.1255570769 1.0060328126 0.8138585961 1.4745607382 1.3379633825 1.8118144176 0.8658521814 0.95 0.7001359221 0.5519329079 359.44214876 488.966942149 1.3966756683 6.0287359623 1.325585919 0.7707141988 1.9145241322 1.3707721668 2.4840909059 1.1770302569 0.72 0.7460312601 0.4025617572 370.660194175 501.323624595 40 d 215 ControlTest_0_RGB.csv ControlTest_16_RGB.csv ControlTest_21_RGB.csv 00-040-215-d
0.9995034902 4.6470493387 1.0290584264 0.7163472393 1.7736238262 1.7745048853 2.4759274955 0.9655422924 0.9583333333 0.6289006362 0.4038890484 335.427230047 570.417840376 1.5234089021 4.908706458 1.3351263247 0.9559927412 1.6915810744 1.1103920111 1.7694497055 1.3417636329 0.8695652174 0.9370900154 0.5651474562 343.581538462 572.033846154 0.8277306216 5.6269969619 0.8077648311 0.7591764708 1.6573774245 2.0023149818 2.1831253843 0.7591764708 0.1363636364 0.2026644522 0.4580588945 356.183246073 584.293193717 40 d 216 ControlTest_0_RGB.csv ControlTest_16_RGB.csv ControlTest_21_RGB.csv 00-040-216-d
0.5885553393 2.9620080059 0.7341661937 0.7398123036 1.0054562827 1.7083462091 1.3590694259 0.7398123036 0.5714285714 0.6451872854 0.735797584 352.152 596.56 0.6963814215 3.1511284325 1.0642370322 0.872969581 0.888090694 1.275293491 1.0173214661 0.9376341539 0.6666666667 0.8091934085 0.9829734586 360.232258065 595.270967742 0.9747691501 3.872461954 1.0822992778 0.8575253798 1.4320354896 1.4691021862 1.6699628061 0.8575253798 0.2105263158 0.6674931468 0.5988157319 373.890909091 606.631818182 40 d 217 ControlTest_0_RGB.csv ControlTest_16_RGB.csv ControlTest_21_RGB.csv 00-040-217-d
0.4365677267 3.197938351 0.63 0.6102458521 0.8566015434 1.9621275028 1.4036990836 0.696491206 0.9166666667 0.514392846 0.7124034002 388.326530612 676.989795918 0.622787562 4.4191495194 0.8703803392 0.8046069767 0.7766988611 1.2471329046 0.9653145991 0.816877335 0.7272727273 0.7057552576 1.0359317066 395.014285714 677.942857143 0.5942612046 3.4291257091 0.8854377448 0.821912879 0.8295395438 1.3959173801 1.0092791645 0.8896835827 0.6 0.821912879 0.9908061468 416.229508197 685.672131148 40 d 218 ControlTest_0_RGB.csv ControlTest_16_RGB.csv ControlTest_21_RGB.csv 00-040-218-d
0.7167724312 4.6677757817 0.6382430616 0.7715429376 1.2621257722 1.7608458658 1.6358464457 0.7715429376 0.5333333333 0.4720422918 0.6113043205 427.80239521 760.97005988 1.0928976168 4.473022907 0.6243842986 1.0192153845 1.2373308912 1.1321562717 1.21400335 1.0192153845 0.5 0.6620286769 0.823720956 437.894957983 765.289915966 1.0191999206 5.545721976 0.7880294678 0.7490610766 1.7424890438 1.7096636377 2.3262309285 0.7490610766 0.5833333333 0.5386616003 0.4298799349 455.449541284 778.146788991 40 d 219 ControlTest_0_RGB.csv ControlTest_16_RGB.csv ControlTest_21_RGB.csv 00-040-219-d
1.2046260958 5.6996513009 0.6782496358 0.8651434572 2.0267473158 1.6824700401 2.3426719567 0.8651434572 0.2962962963 0.4502668071 0.4268630088 429.446564885 101.572519084 1.301124289 5.1723076916 0.7270251805 1.0196088827 2.4693859 1.8978862518 2.4218952402 1.0196088827 0.4 0.373878597 0.4128997751 437.024822695 104.819148936 1.3328681673 5.5193833538 0.9654356097 0.7850934179 2.1543879705 1.616354883 2.7441167146 0.7850934179 0.2333333333 0.5597914015 0.3644159866 448.828671329 112.506993007 40 d 220 ControlTest_0_RGB.csv ControlTest_16_RGB.csv ControlTest_21_RGB.csv 00-040-220-d
0.9670501146 4.7653467271 0.6812780225 0.8961581385 1.385366735 1.4325697439 1.5458953899 0.8961581385 0.1176470588 0.4580391921 0.6468743011 NaN NaN 1.0325173219 4.7540959193 0.4482186966 1.1438094247 1.3457227544 1.3033415768 1.1765270729 1.1438094247 0.2777777778 0.4849742261 0.8499591918 NaN NaN 0.9460885296 4.8867324979 0.7140310832 0.8232759274 1.3392197417 1.4155332188 1.6266961017 0.8232759274 0.3529411765 0.613316911 0.6147429744 NaN NaN 40 d 222 NaN NaN NaN 00-040-222-d
